Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ouro Verde do Oeste (PR),40473,52522,52332,47010,42329,58875,80306,67041,77631,87103,93961,138911.0,145839.0,149186.0,168583.0,174807.0,176717.0,179796.0,264038.0
Paiçandu (PR),103422,132684,158178,182003,203341,197672,221112,218288,233172,298705,369262,437297.0,502709.0,663600.0,771026.0,881947.0,836279.0,827499.0,988418.0
Palmas (PR),276559,382096,467779,430521,419618,557608,509333,481466,510692,532973,615556,726891.0,847313.0,978956.0,1063632.0,1103850.0,1184147.0,1165107.0,1371649.0
Palmeira (PR),216418,303530,333172,332250,341414,394396,467195,467011,565017,660495,777269,871845.0,975054.0,1028986.0,1292989.0,1422627.0,1430977.0,1344846.0,1538217.0
Palmital (PR),48640,56313,63406,65984,73654,78994,90772,99459,106667,126699,151585,179677.0,204567.0,223331.0,244762.0,244571.0,254150.0,252884.0,292926.0
Palotina (PR),331393,436042,435835,416188,441191,566228,710211,733183,798830,939380,1013839,1374198.0,1447882.0,1649028.0,1948350.0,2036997.0,2198288.0,2141859.0,2675584.0
Paraíso do Norte (PR),46793,61492,65605,68437,76296,84141,95497,101219,116391,136493,153095,191681.0,202312.0,239643.0,323278.0,317810.0,329563.0,322626.0,377916.0
Paranacity (PR),57964,90170,88541,88627,93049,98371,107653,130095,144335,183658,196683,238773.0,248689.0,264355.0,306965.0,364747.0,320484.0,332767.0,307470.0
Paranaguá (PR),1682462,2316426,2885785,2427497,2527862,3342141,3996308,3468833,4068128,4842811,5339050,6184560.0,6472842.0,7119556.0,8308348.0,9860432.0,9774705.0,9736158.0,12069503.0
Paranapoema (PR),11707,15924,16355,17595,19775,24630,28927,27894,32611,34301,37530,42420.0,46700.0,52681.0,59535.0,65963.0,66495.0,61199.0,77664.0
Paranavaí (PR),473945,599758,632488,649290,697718,782714,904184,960404,1101757,1238397,1481406,1750585.0,1936828.0,2130471.0,2224810.0,2649460.0,2647822.0,2687496.0,2747724.0
Pato Bragado (PR),33343,45114,37997,35912,37338,48302,57548,52870,66143,75537,80060,111713.0,127637.0,131034.0,150596.0,159355.0,165122.0,170622.0,218854.0
Pato Branco (PR),535964,752550,823888,852021,845898,1071909,1311783,1447330,1573927,1782948,2165445,2531294.0,2828379.0,3068226.0,3333655.0,3600138.0,3836023.0,4004985.0,4167224.0
Paula Freitas (PR),54710,59357,65878,69200,74680,92134,108431,111240,133146,139301,166285,211241.0,231872.0,227850.0,242339.0,268173.0,284424.0,280062.0,355582.0
Paulo Frontin (PR),51935,51373,64733,67856,77239,91643,116893,123449,129499,150883,168613,205910.0,238157.0,233044.0,268898.0,291294.0,307431.0,320487.0,383424.0
Peabiru (PR),82777,111812,116325,101771,111065,159713,147111,138038,133493,167495,191845,244747.0,252646.0,279622.0,307430.0,320625.0,327293.0,315423.0,425195.0
Perobal (PR),26771,38285,46880,46303,50122,52049,66197,72982,82328,103827,117906,126635.0,122320.0,136359.0,151264.0,155160.0,182648.0,183020.0,248651.0
Pérola (PR),45677,54494,53759,60486,56517,95484,139228,136132,217257,326135,357477,507202.0,533616.0,465425.0,353602.0,472828.0,338765.0,458752.0,399111.0
Pérola d'Oeste (PR),34168,48100,45253,41250,41140,56202,65312,66279,78092,85428,84151,123421.0,131050.0,137836.0,158956.0,155408.0,166414.0,156033.0,215315.0
Piên (PR),205894,267321,311709,341013,369716,390247,442981,412664,415232,446106,502734,584426.0,619656.0,682315.0,691499.0,739064.0,794597.0,839261.0,722694.0
Pinhais (PR),1191700,1436002,1725493,1781036,2019634,2637259,3084984,2952880,3834701,3913013,4504340,4960197.0,5123002.0,5091340.0,5386041.0,5595721.0,5856025.0,6461064.0,6365267.0
Pinhalão (PR),26935,31716,42407,40956,52932,44085,59339,53178,69578,103219,111059,112232.0,112993.0,148528.0,159539.0,171446.0,157343.0,153691.0,188121.0
Pinhal de São Bento (PR),9344,12843,13921,14635,13618,17379,20660,21561,25737,29385,28782,36233.0,39895.0,40563.0,47716.0,49863.0,51637.0,54929.0,68097.0
Pinhão (PR),371755,350847,438046,443844,354498,576989,628557,625867,737356,857498,926240,1039678.0,911829.0,1239887.0,1893945.0,1466969.0,1567477.0,1573048.0,1563227.0
Piraí do Sul (PR),135216,174500,193581,203903,241251,262959,330950,357035,354972,391261,449510,533370.0,595504.0,644747.0,686739.0,805596.0,798543.0,811562.0,1079052.0
Piraquara (PR),234408,279037,321697,356966,344593,401967,431858,530857,631588,772102,933690,1083804.0,1121004.0,1064518.0,1131385.0,1222443.0,1297135.0,1397737.0,1396343.0
Pitanga (PR),177270,235074,232807,222878,251838,277487,345181,360374,351704,421176,501373,618452.0,693377.0,700989.0,817084.0,815559.0,893397.0,865767.0,1093165.0
Pitangueiras (PR),20951,27626,32680,24628,26906,35645,44840,43422,43739,53693,59738,65664.0,56953.0,71134.0,67801.0,87606.0,96934.0,90764.0,130995.0
Planaltina do Paraná (PR),19383,24510,28785,26488,30164,29184,33815,35786,44685,49597,58072,77423.0,83878.0,87620.0,97349.0,105710.0,98095.0,103095.0,99063.0
Planalto (PR),62681,83810,84461,81840,84040,103453,125024,133950,152864,174067,173836,233335.0,248419.0,259147.0,297629.0,310555.0,326188.0,320557.0,377506.0
Ponta Grossa (PR),2831579,3546589,4115449,4121331,4355522,5092656,5483811,5859012,6698733,7875097,8947800,10302144.0,11316629.0,11803308.0,12973746.0,14539146.0,15053861.0,15604359.0,17274713.0
Pontal do Paraná (PR),90081,105108,169312,225598,154124,150189,172972,173791,196369,222666,402603,329978.0,385871.0,425613.0,477324.0,577964.0,2425080.0,893585.0,595384.0
Porecatu (PR),207173,228323,233830,243133,257793,304698,275921,328864,353032,435071,481726,503642.0,440227.0,544541.0,631361.0,507771.0,557881.0,604725.0,654592.0
Porto Amazonas (PR),31501,39783,43808,47690,42240,48455,56347,56536,65811,66651,87539,96312.0,86302.0,92310.0,111604.0,120367.0,120369.0,113716.0,155153.0
Porto Barreiro (PR),18047,28053,27432,24100,27084,33208,41742,47832,45445,52547,52995,69155.0,79276.0,78999.0,87324.0,87060.0,98735.0,108337.0,145890.0
Porto Rico (PR),11975,14178,14491,15624,15944,18461,21419,25273,27220,32765,37985,44290.0,47077.0,54390.0,61378.0,68306.0,69893.0,75401.0,87654.0
Porto Vitória (PR),22983,24592,26462,28006,29296,32167,33831,34055,36646,38557,39504,48206.0,58083.0,58806.0,57873.0,63036.0,64151.0,68405.0,82650.0
Prado Ferreira (PR),18623,28276,35756,27675,31710,35948,43403,41126,50018,64202,74881,85565.0,94285.0,99384.0,99942.0,115934.0,131021.0,118932.0,180226.0
Pranchita (PR),40861,57109,59331,52927,51187,71102,90439,92083,91332,107730,108603,154652.0,157789.0,163062.0,189789.0,220707.0,192440.0,204593.0,274561.0
Presidente Castelo Branco (PR),20430,25724,27598,27142,31018,31623,37424,39507,56294,74474,71998,91878.0,97657.0,104525.0,109318.0,132774.0,137423.0,151374.0,142745.0
Primeiro de Maio (PR),72114,94490,86684,78678,86945,102448,118564,105197,142124,159552,204236,230444.0,216830.0,254314.0,272217.0,272104.0,299972.0,295235.0,370684.0
Prudentópolis (PR),203379,251385,265814,278677,301881,334432,436917,473960,506248,582424,653917,810000.0,860546.0,931303.0,1055276.0,1163009.0,1196749.0,1266181.0,1435541.0
Quarto Centenário (PR),45235,69184,62132,52915,58170,64470,106039,102624,90572,113475,126556,174011.0,173852.0,189629.0,221446.0,211614.0,229922.0,218539.0,341466.0
Quatiguá (PR),31605,40155,42780,48918,49863,55074,60316,67752,74990,95979,93146,114537.0,196400.0,158361.0,176426.0,170894.0,177966.0,194442.0,197411.0
Quatro Barras (PR),247070,316590,404532,394825,391800,461543,555125,629897,732944,917650,883279,1545573.0,1133161.0,1163298.0,1244564.0,1444715.0,1549508.0,1579579.0,1595785.0
Quatro Pontes (PR),36998,47523,45470,44999,44076,55554,72413,66478,76913,97322,85400,117909.0,146351.0,141594.0,160166.0,173932.0,177137.0,171776.0,245437.0
Quedas do Iguaçu (PR),505097,483924,567457,550610,488018,728961,766793,806700,942566,995046,1156167,1244230.0,963918.0,1127246.0,1269378.0,1299819.0,1194768.0,1295918.0,1291203.0
Querência do Norte (PR),43780,61670,68259,69393,69456,78318,87327,99393,101387,113784,127716,163360.0,168658.0,188526.0,199786.0,218265.0,237231.0,219968.0,255954.0
Quinta do Sol (PR),47151,60825,63616,53347,60364,57182,83989,70309,83988,92784,104798,133270.0,138643.0,146704.0,168101.0,160180.0,173410.0,163293.0,243862.0
Quitandinha (PR),46730,61681,70770,82939,87647,95985,126657,116274,172324,180699,202627,260202.0,269957.0,314147.0,313578.0,353313.0,392144.0,406977.0,450834.0
Ramilândia (PR),19913,26270,28710,30433,28059,38435,48040,42657,48849,54294,56860,70479.0,73907.0,76196.0,84221.0,81590.0,82282.0,82045.0,94015.0
Rancho Alegre (PR),25951,41323,42820,30103,26874,36825,48515,36588,42859,56661,67447,86040.0,72898.0,90841.0,99337.0,100527.0,120369.0,120495.0,163010.0
Rancho Alegre D'Oeste (PR),30033,46242,41525,37872,36668,43829,66028,65121,54952,68281,70867,101605.0,119319.0,119038.0,138981.0,130348.0,140988.0,133078.0,223268.0
Realeza (PR),97888,124450,128167,120728,130299,169496,201577,221018,255982,291923,320628,413131.0,449555.0,526961.0,578394.0,577792.0,603083.0,617105.0,685721.0
Rebouças (PR),58562,82791,96487,100045,98369,104349,131246,114393,164999,183496,220974,281866.0,288595.0,304790.0,324382.0,358974.0,379545.0,383302.0,451451.0
Renascença (PR),56959,81748,84044,65203,65919,90765,110461,105479,121022,145919,144138,208496.0,208634.0,219336.0,251652.0,265184.0,255580.0,258150.0,341046.0
Reserva (PR),96048,130420,158537,167654,153733,191411,275986,246229,291845,355373,403984,492838.0,449868.0,526543.0,568913.0,555363.0,617069.0,603046.0,679766.0
Reserva do Iguaçu (PR),43208,52800,58065,54400,50450,57266,70070,76976,66641,81737,104064,129621.0,118706.0,119721.0,147293.0,145534.0,157759.0,166859.0,238382.0
Ribeirão Claro (PR),119419,131572,139621,140778,172792,158350,190417,229646,285198,294323,343731,336270.0,329633.0,359133.0,478577.0,464146.0,469035.0,418433.0,459749.0
Ribeirão do Pinhal (PR),46702,59805,73263,67457,65046,81086,94440,88384,108052,123614,141474,161704.0,159256.0,187993.0,214510.0,236885.0,233396.0,235366.0,320518.0
Rio Azul (PR),70913,101532,125093,140081,116037,200844,178035,168558,238758,287668,303827,351832.0,405630.0,470694.0,480086.0,589596.0,607864.0,627997.0,664518.0
Rio Bom (PR),15942,21254,23362,21014,22684,27287,32104,30365,33270,38557,40645,51620.0,56738.0,59677.0,58848.0,68738.0,69878.0,68104.0,92759.0
Rio Bonito do Iguaçu (PR),48184,67723,76291,67262,83075,91020,108258,104718,119411,137021,145187,199570.0,219180.0,231686.0,276105.0,274035.0,288712.0,308766.0,407759.0
Rio Branco do Ivaí (PR),15534,20727,20862,36992,36588,48432,39122,42866,38140,47109,61033,68209.0,78711.0,77953.0,84171.0,74912.0,80035.0,79550.0,112924.0
Rio Branco do Sul (PR),423175,585927,579480,557456,517798,618004,658787,754750,809518,941132,949955,1018127.0,1209260.0,1174898.0,1074246.0,1063591.0,1117426.0,1229360.0,1014497.0
Rio Negro (PR),238368,283467,344465,370722,407625,433867,587957,589046,580701,637717,734257,860452.0,900652.0,966439.0,1011802.0,1116271.0,1229487.0,1241813.0,1200022.0
Rolândia (PR),432127,552843,639983,626156,673728,766212,917592,1085205,1230994,1421190,1620603,1962327.0,2193991.0,2293397.0,2463425.0,2599715.0,2657154.0,2785272.0,3083964.0
Roncador (PR),73799,91580,95798,89881,92710,110196,144789,149963,139909,182778,219718,294015.0,315016.0,332204.0,369767.0,372707.0,431647.0,386646.0,538515.0
Rondon (PR),56226,77106,77575,81563,102575,120230,130057,145694,166490,183769,193360,231446.0,256442.0,284854.0,268620.0,249902.0,264832.0,327766.0,334178.0
Rosário do Ivaí (PR),18503,23014,23980,26458,36861,42468,32527,35612,38072,42324,50466,66474.0,75773.0,81787.0,83501.0,81964.0,86140.0,90950.0,114362.0
Sabáudia (PR),35087,50228,55738,49771,51685,62532,81999,72073,126607,181609,206931,308584.0,346506.0,368432.0,351728.0,456216.0,568983.0,512715.0,585186.0
Salgado Filho (PR),21729,25275,28970,31150,32353,39993,48576,45966,58998,65504,60865,74736.0,87553.0,90225.0,101768.0,99088.0,90465.0,94412.0,115050.0
Salto do Itararé (PR),35512,31656,39935,52533,46640,49243,58702,57295,136328,107188,112504,73986.0,69067.0,84496.0,94436.0,94168.0,88825.0,76856.0,101773.0
Salto do Lontra (PR),60777,82972,84719,89338,97040,118723,132221,145916,169049,197665,210172,275116.0,290868.0,303294.0,340719.0,372317.0,371667.0,374098.0,468650.0
Santa Amélia (PR),15700,22544,26225,19372,23773,23926,30394,28344,37444,44333,54007,55677.0,50940.0,62802.0,69798.0,77868.0,75184.0,75996.0,96257.0
Santa Cecília do Pavão (PR),21798,29922,33511,31566,34448,40832,49519,51628,52222,61957,69836,82346.0,77489.0,95939.0,108040.0,103993.0,112308.0,112937.0,176124.0
Santa Cruz de Monte Castelo (PR),40502,51071,55214,61895,64288,70539,81122,88378,108115,131026,163172,182780.0,186712.0,198443.0,263138.0,252847.0,262666.0,274850.0,359883.0
Santa Fé (PR),43030,63651,67308,68707,69918,82203,106122,106625,117649,165310,182407,209395.0,211230.0,221696.0,233430.0,258421.0,270425.0,274757.0,303557.0
Santa Helena (PR),175439,246475,253200,251692,258878,323477,375203,333732,413132,489134,524436,627235.0,698137.0,775544.0,854651.0,856194.0,934322.0,978186.0,1208950.0
Santa Inês (PR),9229,13570,13941,13481,11656,15586,19320,20483,23038,29002,27395,35811.0,33972.0,32778.0,42518.0,49230.0,41066.0,43850.0,52003.0
Santa Isabel do Ivaí (PR),39147,47937,53512,51551,56610,61288,71502,76232,82997,90024,105417,129266.0,140318.0,155668.0,171697.0,189852.0,197040.0,189138.0,245270.0
Santa Izabel do Oeste (PR),55595,74164,76886,71682,75998,111302,119417,117107,145853,170500,182857,238733.0,246767.0,262242.0,285231.0,313045.0,321714.0,339174.0,380792.0
Santa Lúcia (PR),21064,28849,29868,27211,24481,32482,36875,37563,55580,71227,78761,89880.0,92550.0,92780.0,109757.0,99434.0,107917.0,116115.0,145928.0
Santa Maria do Oeste (PR),42300,53506,53897,48197,52176,60153,71889,69000,73179,88032,93183,119787.0,150736.0,151627.0,180153.0,184770.0,177146.0,162845.0,205748.0
Santa Mariana (PR),76025,113001,117050,95222,92240,118910,152771,114327,149129,186513,197474,253151.0,236256.0,296935.0,322781.0,341310.0,338492.0,365014.0,439707.0
Santa Mônica (PR),13391,18515,21850,20617,19827,23372,32630,30777,36804,37998,42021,55488.0,61330.0,60878.0,74172.0,81831.0,89233.0,84477.0,95805.0
Santana do Itararé (PR),24314,32705,33055,31196,31189,33280,45709,43999,45131,59303,65167,82475.0,73613.0,83752.0,97870.0,97971.0,96281.0,98763.0,138602.0
Santa Tereza do Oeste (PR),60176,88432,90359,85106,89328,111147,136933,138096,163333,212563,231573,310434.0,322755.0,309533.0,361618.0,356069.0,373145.0,381210.0,527075.0
Santa Terezinha de Itaipu (PR),114783,141243,132113,141471,143500,205666,224126,253677,241881,284437,328410,406864.0,461437.0,516725.0,524218.0,485276.0,523337.0,583042.0,592207.0
Santo Antônio da Platina (PR),181163,222387,245444,282779,326046,374787,384317,464675,506702,585888,647013,794202.0,874591.0,977502.0,1005826.0,1141678.0,1210154.0,1244565.0,1340114.0
Santo Antônio do Caiuá (PR),11551,14736,14747,15106,15914,17005,21188,22067,25840,24978,28578,35305.0,37713.0,40457.0,45203.0,52437.0,48930.0,51012.0,52556.0
Santo Antônio do Paraíso (PR),19028,29520,29694,23228,23633,29672,40783,34232,34816,46011,51761,62425.0,50342.0,61807.0,65230.0,72704.0,87550.0,69344.0,91340.0
Santo Antônio do Sudoeste (PR),77523,103197,108314,107070,107372,129502,149994,171057,179797,231699,255793,354167.0,403642.0,414610.0,486010.0,507155.0,506395.0,501827.0,577654.0
Santo Inácio (PR),31907,42160,42594,43013,46936,66884,106913,106879,145160,179751,177893,229920.0,211526.0,272623.0,374464.0,318695.0,291983.0,338375.0,505131.0
São Carlos do Ivaí (PR),45521,64535,68386,70702,86011,87921,105731,116915,119668,144085,156092,191443.0,224279.0,235454.0,266654.0,297524.0,307761.0,317464.0,377228.0
São Jerônimo da Serra (PR),36189,52077,63396,57206,63521,69238,97533,86580,84939,128138,133603,165373.0,148888.0,186490.0,203619.0,217185.0,228387.0,212572.0,285405.0
São João (PR),69469,98645,109413,91360,87518,123461,148954,162847,175479,250812,310080,430511.0,479522.0,560451.0,654391.0,678286.0,739352.0,701283.0,782346.0
São João do Caiuá (PR),23647,28112,30153,30948,35314,34901,42325,41301,64372,74431,75878,88858.0,92007.0,99378.0,106751.0,141514.0,125606.0,133128.0,135615.0
São João do Ivaí (PR),64523,85621,96253,81856,90154,99345,120738,122392,120532,141588,177246,212318.0,219510.0,234338.0,242668.0,274131.0,281560.0,262084.0,331063.0
São João do Triunfo (PR),44864,74562,95612,103646,110786,128116,131679,133084,219058,216597,257570,291716.0,399426.0,438901.0,457547.0,568477.0,545178.0,511481.0,604591.0
São Jorge d'Oeste (PR),48479,64492,66615,66025,64698,88798,98359,94844,114204,143571,161706,194496.0,203510.0,227128.0,256232.0,246722.0,282533.0,286903.0,354113.0
São Jorge do Ivaí (PR),74111,105641,102833,87057,79831,101059,118593,107745,132461,162201,180684,222347.0,218720.0,254519.0,261873.0,261650.0,277814.0,260324.0,357033.0
São Jorge do Patrocínio (PR),22294,26674,29653,29131,35194,35943,43312,39841,51216,57833,65030,99570.0,108676.0,105621.0,109397.0,116945.0,115679.0,124692.0,190840.0
São José da Boa Vista (PR),27754,37286,39090,40657,38929,43247,67201,67219,66289,82306,90499,119062.0,102123.0,125183.0,151383.0,140824.0,144962.0,146220.0,188298.0
São José das Palmeiras (PR),17782,23382,22566,23154,23096,28502,33726,29050,38788,43607,40969,61039.0,63783.0,70376.0,81916.0,73387.0,75356.0,76497.0,90805.0
São José dos Pinhais (PR),5275063,6370666,7798399,8276261,9150899,11162254,13319763,14152746,17238008,20709464,22271624,25207296.0,22736762.0,22807863.0,20145048.0,22592708.0,24107191.0,29958698.0,21975612.0
São Manoel do Paraná (PR),13467,17826,18148,17104,17721,20511,24033,22527,21892,29074,29187,30379.0,44574.0,43625.0,51010.0,49606.0,50418.0,54668.0,61144.0
São Mateus do Sul (PR),281389,324016,376953,402251,423899,500579,572356,591230,567737,653136,764079,1047541.0,1114144.0,1172055.0,1191201.0,1235013.0,1255944.0,1283216.0,1306340.0
São Miguel do Iguaçu (PR),226840,317381,307108,319228,319583,426532,425274,483024,544432,654247,677832,860633.0,932365.0,1018799.0,1018702.0,942512.0,1003374.0,1094370.0,1206234.0
São Pedro do Iguaçu (PR),41884,64063,63812,56180,58607,67020,89917,78697,85834,95891,98590,142777.0,151982.0,156471.0,178342.0,197420.0,166901.0,184003.0,253114.0
São Pedro do Ivaí (PR),74168,89286,98955,95072,118946,140675,170598,145700,171483,200201,213739,227379.0,242967.0,253950.0,261289.0,265875.0,295572.0,306085.0,344642.0
São Pedro do Paraná (PR),13726,15573,17476,18197,19570,21087,24290,25926,27602,32370,45671,56197.0,60001.0,63087.0,65762.0,65918.0,65735.0,66214.0,86360.0
São Sebastião da Amoreira (PR),43794,67703,73280,64149,65764,76653,82155,89083,90618,114515,136404,167446.0,156605.0,178735.0,188649.0,191382.0,195825.0,220723.0,243619.0
São Tomé (PR),37665,54682,56725,57636,65409,67738,79261,85092,86800,101380,104013,134658.0,141035.0,149333.0,164131.0,144499.0,138199.0,167711.0,157431.0
Sapopema (PR),19620,27981,32408,32225,35226,38919,50277,47209,51119,56380,62520,75686.0,83083.0,91609.0,97952.0,102665.0,107698.0,107657.0,135487.0
Sarandi (PR),241686,294625,348962,370967,372631,453364,523796,565953,725973,825569,965758,1167158.0,1223557.0,1327485.0,1416239.0,1457170.0,1587701.0,1728385.0,1810294.0
